date,store,sales
2022-01-01,Store_A,7762.46
2022-01-02,Store_A,7417.29
2022-01-03,Store_A,7738.68
2022-01-04,Store_A,6930.18
2022-01-05,Store_A,5958.3
2022-01-06,Store_A,5971.03
2022-01-07,Store_A,9067.3
2022-01-08,Store_A,7999.03
2022-01-09,Store_A,7320.76
2022-01-10,Store_A,6462.46
2022-01-11,Store_A,5914.63
2022-01-12,Store_A,5929.39
2022-01-13,Store_A,6342.31
2022-01-14,Store_A,5152.53
2022-01-15,Store_A,6715.7
2022-01-16,Store_A,9877.75
2022-01-17,Store_A,5711.44
2022-01-18,Store_A,6473.88
2022-01-19,Store_A,5809.2
2022-01-20,Store_A,5547.11
2022-01-21,Store_A,7179.58
2022-01-22,Store_A,7693.7
2022-01-23,Store_A,7879.77
2022-01-24,Store_A,5626.4
2022-01-25,Store_A,6142.2
2022-01-26,Store_A,6532.45
2022-01-27,Store_A,5849.53
2022-01-28,Store_A,6728.7
2022-01-29,Store_A,7646.64
2022-01-30,Store_A,7844.79
2022-01-31,Store_A,6256.77
2022-02-01,Store_A,7657.04
2022-02-02,Store_A,6638.67
2022-02-03,Store_A,6080.81
2022-02-04,Store_A,9628.35
2022-02-05,Store_A,7484.51
2022-02-06,Store_A,8313.28
2022-02-07,Store_A,5687.44
2022-02-08,Store_A,6070.01
2022-02-09,Store_A,6953.35
2022-02-10,Store_A,7286.34
2022-02-11,Store_A,6998.83
2022-02-12,Store_A,8308.52
2022-02-13,Store_A,8235.44
2022-02-14,Store_A,6167.21
2022-02-15,Store_A,8865.63
2022-02-16,Store_A,6800.46
2022-02-17,Store_A,7682.51
2022-02-18,Store_A,7315.36
2022-02-19,Store_A,7608.34
2022-02-20,Store_A,8810.14
2022-02-21,Store_A,7006.29
2022-02-22,Store_A,6876.43
2022-02-23,Store_A,7631.87
2022-02-24,Store_A,7900.78
2022-02-25,Store_A,7879.27
2022-02-26,Store_A,8362.36
2022-02-27,Store_A,8693.97
2022-02-28,Store_A,7647.65
2022-03-01,Store_A,8043.68
2022-03-02,Store_A,7264.47
2022-03-03,Store_A,7464.45
2022-03-04,Store_A,6984.67
2022-03-05,Store_A,10318.51
2022-03-06,Store_A,9571.34
2022-03-07,Store_A,8472.1
2022-03-08,Store_A,7708.71
2022-03-09,Store_A,8347.57
2022-03-10,Store_A,8024.78
2022-03-11,Store_A,7497.79
2022-03-12,Store_A,9538.33
2022-03-13,Store_A,10234.23
2022-03-14,Store_A,7949.93
2022-03-15,Store_A,8883.33
2022-03-16,Store_A,6577.27
2022-03-17,Store_A,8541.84
2022-03-18,Store_A,8167.61
2022-03-19,Store_A,9428.74
2022-03-20,Store_A,9684.9
2022-03-21,Store_A,7117.83
2022-03-22,Store_A,8145.2
2022-03-23,Store_A,8505.54
2022-03-24,Store_A,11553.71
2022-03-25,Store_A,8089.93
2022-03-26,Store_A,9404.65
2022-03-27,Store_A,9613.62
2022-03-28,Store_A,9004.37
2022-03-29,Store_A,8712.9
2022-03-30,Store_A,8269.12
2022-03-31,Store_A,8890.11
2022-04-01,Store_A,8693.83
2022-04-02,Store_A,10658.59
2022-04-03,Store_A,9759.55
2022-04-04,Store_A,10893.29
2022-04-05,Store_A,8565.83
2022-04-06,Store_A,10889.79
2022-04-07,Store_A,9023.34
2022-04-08,Store_A,9039.5
2022-04-09,Store_A,10371.8
2022-04-10,Store_A,10272.99
2022-04-11,Store_A,8206.98
2022-04-12,Store_A,8799.05
2022-04-13,Store_A,8877.49
2022-04-14,Store_A,8654.71
2022-04-15,Store_A,9047.99
2022-04-16,Store_A,10838.67
2022-04-17,Store_A,11702.49
2022-04-18,Store_A,9337.56
2022-04-19,Store_A,9417.31
2022-04-20,Store_A,9264.4
2022-04-21,Store_A,8264.29
2022-04-22,Store_A,9356.37
2022-04-23,Store_A,10877.05
2022-04-24,Store_A,12254.51
2022-04-25,Store_A,9358.83
2022-04-26,Store_A,9666.54
2022-04-27,Store_A,9509.01
2022-04-28,Store_A,8904.41
2022-04-29,Store_A,10228.91
2022-04-30,Store_A,11479.71
2022-05-01,Store_A,11530.92
2022-05-02,Store_A,9167.62
2022-05-03,Store_A,10490.98
2022-05-04,Store_A,8948.52
2022-05-05,Store_A,10089.93
2022-05-06,Store_A,11015.27
